date,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-06-29,EURUSD,39,61,6418.21,9978.92,29448,21438,50886
2026-06-29,GBPUSD,48,52,3050.33,3312.82,16330,11812,28142
2026-06-29,USDJPY,74,26,2327.38,836.13,2852,8180,11032
2026-06-29,GBPJPY,69,31,548.27,244.71,1211,2208,3419
2026-06-29,USDCAD,94,6,5308.16,346.14,2597,15760,18357
2026-06-29,EURAUD,66,34,922.59,474.01,1641,2986,4627
2026-06-29,EURJPY,63,37,890.34,525.42,1565,2427,3992
2026-06-29,AUDCAD,30,70,3679.86,8740.61,26100,16678,42778
2026-06-29,AUDJPY,46,54,311.23,367.64,2011,1169,3180
2026-06-29,AUDNZD,87,13,5130.29,749.86,2669,13071,15740
2026-06-29,AUDUSD,28,72,1046.39,2756.46,7631,3443,11074
2026-06-29,CADJPY,37,63,118.8,200.29,1041,570,1611
2026-06-29,EURCAD,83,17,330.06,68.56,461,2219,2680
2026-06-29,EURCHF,54,46,344.51,295.87,1644,2456,4100
2026-06-29,EURCZK,88,12,0.29,0.04,2,19,21
2026-06-29,EURDKK,0,0,0,0,0,0,0
2026-06-29,EURGBP,39,61,366.55,585.43,3739,2396,6135
2026-06-29,EURHUF,79,21,1.04,0.28,11,13,24
2026-06-29,EURNOK,100,0,1.13,0,0,11,11
2026-06-29,EURNZD,92,8,773.61,70,532,3183,3715
2026-06-29,EURPLN,100,0,4.28,0.01,1,28,29
2026-06-29,EURSEK,100,0,1.74,0,0,13,13
2026-06-29,EURTRY,100,0,0.54,0,0,5,5
2026-06-29,GBPCAD,86,14,323.03,51.49,396,3293,3689
2026-06-29,GBPCHF,56,44,146.64,113.37,877,1767,2644
2026-06-29,NZDCAD,8,92,214.28,2483.84,8632,1324,9956
2026-06-29,NZDJPY,8,92,54.14,651.01,2027,610,2637
2026-06-29,NZDUSD,6,94,129,2139.56,7244,848,8092
2026-06-29,USDCHF,65,35,1254.83,690.26,2925,4694,7619
2026-06-29,USDCZK,0,100,0,0.54,22,0,22
2026-06-29,USDDKK,0,0,0,0,0,0,0
2026-06-29,USDHKD,100,0,0.02,0,0,1,1
2026-06-29,USDHUF,0,100,0,6.87,70,0,70
2026-06-29,USDMXN,60,40,3.29,2.18,35,31,66
2026-06-29,USDNOK,70,30,1.4,0.59,15,6,21
2026-06-29,USDPLN,0,100,0,0.36,16,0,16
2026-06-29,USDSEK,78,22,5.45,1.54,22,14,36
2026-06-29,USDSGD,88,12,19.76,2.73,51,160,211
2026-06-29,USDTHB,10,90,0.02,0.18,8,2,10
2026-06-29,USDTRY,100,0,0.15,0,0,2,2
2026-06-29,USDZAR,75,25,4.9,1.66,66,115,181
2026-06-29,CHFJPY,73,27,516.58,194.08,1622,2104,3726
2026-06-29,AUDCHF,19,81,221.94,929.74,2467,1263,3730
2026-06-29,GBPNZD,93,7,1027.39,77.94,444,4357,4801
2026-06-29,NZDCHF,11,89,128.91,1046.29,3326,276,3602
2026-06-29,XAGUSD,34,66,69.75,134.24,1080,265,1345
2026-06-29,XAUUSD,41,59,718.04,1023.25,9583,4795,14378
2026-06-29,CADCHF,14,86,96.28,614.43,4490,813,5303
2026-06-29,GBPAUD,84,16,845.29,165.94,1410,3589,4999
2026-06-29,SPA35,0,100,0,0.18,1,0,1
2026-06-29,SGDJPY,99,1,14.95,0.15,15,62,77
2026-06-29,SUGAR,0,100,0,26.4,16,0,16
2026-06-29,GBPNOK,0,100,0,0.01,1,0,1
2026-06-29,US30,36,64,3,5.31,2,1,3
2026-06-29,EURZAR,97,3,0.88,0.03,2,10,12
2026-06-29,AUDSGD,39,61,3.56,5.51,86,16,102
2026-06-29,GBPZAR,0,0,0,0,0,0,0
2026-06-29,GBPSEK,90,10,0.36,0.04,1,3,4
2026-06-29,CHFSGD,93,7,1.71,0.12,8,27,35
2026-06-29,EURSGD,56,44,12.97,10.03,120,110,230
2026-06-29,GBPSGD,84,16,7.32,1.4,33,41,74
2026-06-29,AUDDKK,0,0,0,0,0,0,0
2026-06-29,EURHKD,38,63,1.08,1.8,45,4,49
2026-06-29,GBPDKK,0,0,0,0,0,0,0
2026-06-29,COPPER,0,100,0,0.03,3,0,3
2026-06-29,COFFEE,80,20,4,1,1,3,4
2026-06-29,EURO50,0,0,0,0,0,0,0
2026-06-29,TRYJPY,0,100,0.02,5.83,10,1,11
2026-06-29,US500,100,0,1.1,0,0,2,2
2026-06-29,GBPPLN,0,0,0,0,0,0,0
2026-06-29,WHEAT,0,100,0,0.01,1,0,1
2026-06-29,COCOA,100,0,0.05,0,0,1,1
2026-06-29,UK100,100,0,1.36,0,0,6,6
2026-06-29,XAUGBP,2,98,0.01,0.47,13,1,14
2026-06-29,COTTON,0,100,0,0.03,3,0,3
2026-06-29,NOKJPY,100,0,1,0,0,1,1
2026-06-29,SP500,0,0,0,0,0,0,0
2026-06-29,ZARJPY,97,3,2,0.06,6,2,8
2026-06-29,HKDJPY,0,0,0,0,0,0,0
2026-06-29,CHFNOK,50,50,0.02,0.02,1,1,2
2026-06-29,GBPTRY,100,0,0.4,0,0,2,2
2026-06-29,USDRUB,0,100,0,0.1,1,0,1
2026-06-29,SEKJPY,0,100,0,0.29,7,0,7
2026-06-29,MSFT,0,0,0,0,0,0,0
2026-06-29,JNJ,0,0,0,0,0,0,0
2026-06-29,EURMXN,100,0,2.2,0,0,24,24
2026-06-29,XAUAUD,90,10,0.09,0.01,1,6,7
2026-06-29,XAUEUR,77,23,3.1,0.95,57,13,70
