date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-07-16,01:08PM,EURUSD,45,55,6487.4,7989.55,24884,22245,47129
2026-07-16,01:08PM,GBPUSD,68,32,5235.13,2473.83,8957,17391,26348
2026-07-16,01:08PM,USDJPY,72,28,1567.21,624.05,2500,5023,7523
2026-07-16,01:08PM,GBPJPY,87,13,1828.2,262.14,1147,4323,5470
2026-07-16,01:08PM,USDCAD,60,40,2277.71,1495.04,7562,7582,15144
2026-07-16,01:08PM,EURAUD,24,76,209.68,670.88,2523,870,3393
2026-07-16,01:08PM,EURJPY,78,22,931.82,268.3,895,2795,3690
2026-07-16,01:08PM,AUDCAD,65,35,3965.62,2115.82,9894,18074,27968
2026-07-16,01:08PM,AUDJPY,83,17,398.62,78.98,646,2019,2665
2026-07-16,01:08PM,AUDNZD,63,37,4597.04,2732.06,9710,10406,20116
2026-07-16,01:08PM,AUDUSD,74,26,1689.39,583.44,2910,6206,9116
2026-07-16,01:08PM,CADJPY,76,24,172.41,54.91,424,1251,1675
2026-07-16,01:08PM,EURCAD,18,82,141.27,625.87,2297,1218,3515
2026-07-16,01:08PM,EURCHF,65,35,405.29,214.14,1551,2568,4119
2026-07-16,01:08PM,EURCZK,88,12,0.29,0.04,2,19,21
2026-07-16,01:08PM,EURDKK,0,0,0,0,0,0,0
2026-07-16,01:08PM,EURGBP,7,93,291.07,3845.87,13579,1787,15366
2026-07-16,01:08PM,EURHUF,97,3,5.21,0.17,10,28,38
2026-07-16,01:08PM,EURNOK,0,100,0,0.01,1,0,1
2026-07-16,01:08PM,EURNZD,13,87,132.07,917.88,3679,800,4479
2026-07-16,01:08PM,EURPLN,100,0,4.34,0,0,34,34
2026-07-16,01:08PM,EURSEK,100,0,0.01,0,0,1,1
2026-07-16,01:08PM,EURTRY,100,0,3.01,0,0,9,9
2026-07-16,01:08PM,GBPCAD,87,13,354.86,52.95,718,2845,3563
2026-07-16,01:08PM,GBPCHF,91,9,560.91,58.63,530,3129,3659
2026-07-16,01:08PM,NZDCAD,87,13,1141.17,169.97,930,4846,5776
2026-07-16,01:08PM,NZDJPY,87,13,280.3,41.31,284,1839,2123
2026-07-16,01:08PM,NZDUSD,72,28,727.9,281.85,1695,3403,5098
2026-07-16,01:08PM,USDCHF,56,44,1016.8,809.64,3147,3214,6361
2026-07-16,01:08PM,USDCZK,0,100,0,0.53,21,0,21
2026-07-16,01:08PM,USDDKK,0,0,0,0,0,0,0
2026-07-16,01:08PM,USDHKD,100,0,0.02,0,0,1,1
2026-07-16,01:08PM,USDHUF,1,99,0.09,6.74,61,6,67
2026-07-16,01:08PM,USDMXN,53,47,2.71,2.38,37,32,69
2026-07-16,01:08PM,USDNOK,54,46,1.13,0.97,26,1,27
2026-07-16,01:08PM,USDPLN,5,95,0.02,0.36,16,2,18
2026-07-16,01:08PM,USDSEK,49,51,5,5.11,42,10,52
2026-07-16,01:08PM,USDSGD,88,12,16.14,2.15,57,116,173
2026-07-16,01:08PM,USDTHB,18,82,0.04,0.18,8,3,11
2026-07-16,01:08PM,USDTRY,100,0,0.9,0,0,2,2
2026-07-16,01:08PM,USDZAR,28,72,0.65,1.66,66,20,86
2026-07-16,01:08PM,CHFJPY,78,22,484.97,138.76,1118,1947,3065
2026-07-16,01:08PM,AUDCHF,89,11,1027.24,123.39,733,2906,3639
