date_NY,time_NY,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-08-25,08:34AM,EURUSD,74,26,13370.8,4800.49,15346,39570,54916
2026-08-25,08:34AM,GBPUSD,83,17,7269.47,1532.54,5712,22210,27922
2026-08-25,08:34AM,USDJPY,41,59,733.43,1077.32,4812,2689,7501
2026-08-25,08:34AM,GBPJPY,90,10,2288.41,260.18,1126,3467,4593
2026-08-25,08:34AM,USDCAD,36,64,1031.96,1874.07,7847,5559,13406
2026-08-25,08:34AM,EURAUD,24,76,206.79,646.08,2753,1006,3759
2026-08-25,08:34AM,EURJPY,83,17,1339.84,273.86,908,3584,4492
2026-08-25,08:34AM,AUDCAD,83,17,7631.92,1561.36,7078,28172,35250
2026-08-25,08:34AM,AUDJPY,92,8,663.07,55.05,517,2622,3139
2026-08-25,08:34AM,AUDNZD,69,31,2162.83,950.63,3317,8215,11532
2026-08-25,08:34AM,AUDUSD,89,11,2580.35,306.33,1471,7985,9456
2026-08-25,08:34AM,CADJPY,61,39,201.28,127.41,469,974,1443
2026-08-25,08:34AM,EURCAD,53,47,478.58,418.2,1446,2169,3615
2026-08-25,08:34AM,EURCHF,80,20,767.43,190.32,1321,3532,4853
2026-08-25,08:34AM,EURCZK,57,43,0.16,0.12,12,16,28
2026-08-25,08:34AM,EURDKK,0,0,0,0,0,0,0
2026-08-25,08:34AM,EURGBP,55,45,730.78,600.35,3660,3799,7459
2026-08-25,08:34AM,EURHUF,96,4,2.27,0.09,9,19,28
2026-08-25,08:34AM,EURNOK,25,75,0.01,0.03,2,1,3
2026-08-25,08:34AM,EURNZD,31,69,147.91,328.63,1825,1323,3148
2026-08-25,08:34AM,EURPLN,100,0,4.3,0.02,2,30,32
2026-08-25,08:34AM,EURSEK,93,7,3.1,0.23,23,5,28
2026-08-25,08:34AM,EURTRY,100,0,2.01,0,0,10,10
2026-08-25,08:34AM,GBPCAD,79,21,280.92,76.32,761,1887,2648
2026-08-25,08:34AM,GBPCHF,72,28,245.64,93.49,583,1656,2239
2026-08-25,08:34AM,NZDCAD,88,12,1171.53,158.23,956,5381,6337
2026-08-25,08:34AM,NZDJPY,82,18,236.13,53.57,320,1512,1832
2026-08-25,08:34AM,NZDUSD,81,19,1535.41,350.25,1439,4229,5668
2026-08-25,08:34AM,USDCHF,28,72,416.14,1092.84,4454,1797,6251
2026-08-25,08:34AM,USDCZK,0,100,0,71.23,77,0,77
2026-08-25,08:34AM,USDDKK,0,0,0,0,0,0,0
2026-08-25,08:34AM,USDHKD,100,0,0.02,0,0,1,1
2026-08-25,08:34AM,USDHUF,3,97,0.22,6.88,70,4,74
2026-08-25,08:34AM,USDMXN,63,37,4.81,2.86,48,30,78
2026-08-25,08:34AM,USDNOK,0,100,0,1.41,31,0,31
2026-08-25,08:34AM,USDPLN,0,100,0,0.35,15,0,15
2026-08-25,08:34AM,USDSEK,0,100,0,3.85,29,0,29
2026-08-25,08:34AM,USDSGD,2,98,0.24,11.55,155,11,166
2026-08-25,08:34AM,USDTHB,2,98,0.01,0.4,9,1,10
2026-08-25,08:34AM,USDTRY,0,100,0,0.05,1,0,1
2026-08-25,08:34AM,USDZAR,12,88,0.28,1.98,71,12,83
2026-08-25,08:34AM,CHFJPY,73,27,405.19,146.18,1025,1500,2525
2026-08-25,08:34AM,AUDCHF,86,14,921.2,147.11,728,2537,3265
2026-08-25,08:34AM,GBPNZD,25,75,96.89,290.86,2031,971,3002
2026-08-25,08:34AM,NZDCHF,68,32,525.33,243.07,1488,2571,4059
2026-08-25,08:34AM,XAGUSD,51,49,148.5,142.79,746,454,1200
2026-08-25,08:34AM,XAUUSD,49,51,773.81,790.93,7165,5993,13158
2026-08-25,08:34AM,CADCHF,33,67,221.57,454.81,3570,1253,4823
2026-08-25,08:34AM,GBPAUD,34,66,84.94,165.05,1453,773,2226
2026-08-25,08:34AM,SPA35,0,100,0,0.18,1,0,1
2026-08-25,08:34AM,SGDJPY,95,5,15.36,0.79,10,74,84
2026-08-25,08:34AM,SUGAR,0,100,0,26.4,16,0,16
2026-08-25,08:34AM,GBPNOK,17,83,0.01,0.05,5,1,6
2026-08-25,08:34AM,US30,36,64,3,5.31,2,1,3
2026-08-25,08:34AM,EURZAR,95,5,2.59,0.15,5,20,25
2026-08-25,08:34AM,AUDSGD,65,35,3.13,1.71,90,71,161
2026-08-25,08:34AM,GBPZAR,0,0,0,0,0,0,0
